Bagian;Proses Bisnis;Sistem;;;Status Implementasi;Catatan;Status Pengembangan;;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Penghargaan Pegawai;Penghargaan Pegawai;;;;;N/A;;Sudah ada pembahasan awal namun belum ada UR
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Penghargaan Pegawai;;Penghargaan Pegawai/ Instant Reward (OA);;Implementasi;;;;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Monitoring Vaksin;Riwayat Vaksin;;;Implementasi;;;;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Kenaikan Gaji Berkala;KGB;;;Semi Implementasi;Belum implementasi di DJBC, DJPB, Itjen;;;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Hukuman Disiplin;Integrated Drafting;;;Belum Implementasi;;Pengembangan;Integrated Drafting;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Hukuman Disiplin;Integrasi HRIS dan e-Hukdis;e-Hukdis;;;;Pembangunan;;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Kode Etik dan Kode Perilaku;;;;;;N/A;;Sudah ada UR tp UR lama, perlu konfirmasi apakah masih relevan
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Izin dan Pelaporan Keluarga;Laporan Perkawinan;;;;;Backlog;Modul Laporan Perkawinan;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Perizinan Kehadiran;Presensi;Presensi (OA);;Implementasi;;Finished;Modul Kehadiran;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Manajemen Pemberhentian Pegawai;Amber (Aplikasi Manajemen Pemberhentian);;;Belum Implementasi;;Finished;;
Pembangunan Karakter dan Budaya SDM;Konseling;;Konseling;;;;Backlog;Aplikasi Konseling;
(Eksternal Biro SDM) Pusintek;Digital Signature;Registrasi DS;;;Implementasi;;;;
(Eksternal Biro SDM) Pusintek;Manajemen Role;;;;;;;;
(Eksternal Biro SDM) Organta;Data Referensi;Ref. Organisasi dan Jabatan;;;Semi Implementasi;Reorganisasi dalam jumlah besar masih menggunakan inject database;N/A;;
(Eksternal Biro SDM) DJPB;Keuangan;Modul Keuangan;;;;;;Modul Keuangan;
